symbol,name,currency,sector,sectorcode,ISIN,trailingPE,EPS,analist_estimate,Price_book,TangibleValuePerShare,enterpriseToEbitda,totalDebt,currentRatio,growthrate,growthrate_quarter,beta,priceToSalesTrailing12Months,extrainfo,value_score,risc_score,growth_score
EQV1V.HE,eQ Oyj,EUR,Financials,3020,FI0009009617,34.811047,0.688,1.0,19.053303,0.0,16.202,0.00630747531485201,1.244,0.275651109945814,0.979155151993684,0.83697,11.050728,FINANCE,0.0,60.0,40.0
ETTE.HE,Etteplan Oyj,EUR,Industrials,5020,FI0009008650,21.17904,0.687,1.0,4.158331,0.195540311551956,11.643,0.260189339468951,1.068,0.120174477856197,1.58240482822656,0.993581,1.090485,,0.0,40.0,30.0
EVLI.HE,Evli Oyj,EUR,Financials,3020,FI4000513437,14.0,1.125,1.0,3.7234042,0.0,0.0,0.701506730177813,,0.0,0.593984962406015,,,FINANCE,10.0,60.0,0.0
FAG.ST,Fagerhult,SEK,Industrials,5010,SE0010048884,10.50026,3.838,1.0,1.1807793,0.0674487374786868,10.555,0.638551318557522,1.958,0.217296744351539,1.0608646188851,1.171159,0.94882435,,20.0,20.0,50.0
FASTAT.ST,Fastator,SEK,Real Estate,3510,SE0015407382,3.9455783,2.94,1.0,0.5608471,4.62673274391132,33.85,2.78868158511907,1.739,1.12317507630889,1.62446179668686,0.615318,1.5517079,,40.0,40.0,50.0
FESTI.IC,Festi,ISK,Consumer Services,4040,IS0000020584,23.625097,7.746,1.0,2.022949,0.429367792680907,10.304,0.626762811856268,1.092,0.395341729831187,0.813125640159761,0.327786,0.55916667,,0.0,40.0,40.0
FG.ST,Fasadgruppen Group,SEK,Industrials,5010,SE0015195771,35.094337,2.65,1.0,4.010868,0.00379052057611838,12.254,0.341691746764512,1.348,1.40694337359719,1.12280701754386,,1.1988912,,0.0,50.0,50.0
FIA1S.HE,Finnair Oyj,EUR,Consumer Services,4050,FI0009003230,0.0,-0.402,1.0,0.8014235,0.0844843461688777,-6.401,4.35007534756835,1.031,-0.329942526709213,0.874646559849199,1.246469,0.40512657,,40.0,60.0,0.0
FING-B.ST,Fingerprint Cards B,SEK,Technology,1010,SE0008374250,0.0,-1.08,1.0,0.7559709,,-23.383,0.367237724107953,1.809,-0.0871604455735783,-15.3333333333333,1.265297,0.83329487,,40.0,10.0,0.0
FLUG-B.CO,Flügger group B,DKK,Industrials,5020,DK0010218189,7.576152,57.681,1.0,1.4309243,0.121481227855971,8.764,0.709915085880033,1.202,0.124386770362295,0.985074626865672,,0.5445959,,40.0,20.0,20.0
FMM-B.ST,FM Mattsson Mora Group B,SEK,Industrials,5010,SE0018040883,8.643361,6.236,1.0,1.2863655,0.637997465825075,6.452,0.138372923321512,1.842,0.27693037641022,1.3021472392638,0.962344,0.39021063,,40.0,0.0,50.0
FNM.ST,Ferronordic,SEK,Industrials,5020,SE0005468717,3.3628318,15.255,1.0,0.92449087,0.657266309768378,1.641,1.83900439338263,1.372,0.375655880611603,0.986486486486487,1.518185,0.10976327,,60.0,20.0,40.0
FSECURE.HE,F-Secure Oyj,EUR,Technology,1010,FI4000519236,,,,,,,,,,,,,,,,
G5EN.ST,G5 Entertainment,SEK,Consumer Services,4020,SE0001824004,22.929516,9.08,1.0,3.463074,,22.209,0.00168335222694183,1.967,-0.0767719522077206,-0.565075773160529,1.048178,1.3330439,,0.0,40.0,0.0
GABR.CO,Gabriel Holding,DKK,Consumer Services,4020,DK0060124691,17.694805,30.8,1.0,2.8712318,0.141189262657153,16.004,0.374718710742197,1.133,0.168404873331498,0.261530193472738,0.591461,0.97604567,,0.0,30.0,40.0
GARO.ST,Garo,SEK,Technology,1010,SE0015812417,37.606556,3.05,1.0,9.532912,0.0422144725370532,22.804,0.0145422842197036,2.133,0.17621412803532,0.4,1.334116,4.212957,,0.0,50.0,40.0
